0000012,平安银行,-2.00,6,16.8,14.4,55,  7.9, 1.0, 2.9, 12 / 74.5亿, 11 / 0.2万亿, 33 / 银行 
0000022,万科A,-1.54,4,6.7,4.4,72, 71.4, 2.0, 0.7, 11 / 11.2亿,  1 / 0.3万亿,130 / 房地产 
0000062,深振业A,-1.33,7,11.9,2.9,80, 17.0, 1.2, 1.8, 59 / 1.1亿, 61 / 75.5亿,130 / 房地产 
0000082,神州高铁,-0.62,3,5.0,5.4,66,230.3, 1.5, 0.2, 15 / 0.1亿,  2 / 108.2亿, 24 / 交运设备 
0000092,中国宝安,0.10,4,8.2,9.1,52, 47.6, 2.4, 1.2, 71 / 0.7亿, 41 / 125.7亿,130 / 房地产 
0000122,南玻A,-1.21,3,3.3,8.1,80, 25.1, 1.4, 1.4,  5 / 1.3亿,  5 / 132.5亿, 31 / 玻璃陶瓷 
0000162,深康佳A,1.76,4,6.2,8.4,66, 31.0, 1.3, 1.1, 18 / 0.9亿, 16 / 106.2亿, 49 / 家电行业 
0000212,深科技,-0.42,2,3.8,4.3,82, 30.0, 1.9, 1.6, 12 / 1.0亿, 15 / 124.5亿,106 / 电子信息 
0000252,特力A,0.87,4,4.0,7.0,58,127.2, 8.6, 1.7, 87 / 0.2亿, 29 / 91.7亿,144 / 汽车行业 
0000272,深圳能源,-1.42,2,-1.3,6.4,88, 16.6, 1.1, 1.5,  1 / 3.7亿,  2 / 245.0亿, 36 / 公用事业 
0000282,国药一致,-1.89,1,-0.5,4.1,80, 14.8, 1.5, 2.5, 25 / 3.0亿, 39 / 177.5亿,232 / 医药制造 
0000312,大悦城,-2.92,2,4.1,8.5,91,  5.4, 1.6, 7.4, 10 / 12.0亿, 22 / 259.5亿,130 / 房地产 
0000342,神州数码,-1.53,1,1.3,7.5,82, 16.0, 2.3, 3.5, 13 / 1.4亿, 36 / 86.9亿,100 / 通讯行业 
0000352,中国天楹,-0.92,1,6.4,-,80, 42.6, 1.7, 1.3, 10 / 0.8亿,  4 / 136.1亿, 48 / 环保工程 
0000392,中集集团,0.11,3,4.9,9.7,82, 24.5, 1.1, 1.1,  1 / 4.1亿,  1 / 397.1亿, 58 / 金属制品 
0000402,东旭蓝天,-0.13,2,1.3,5.2,58,137.3, 0.7, 0.1, 30 / 0.2亿,  8 / 102.4亿, 48 / 环保工程 
0000462,泛海控股,-1.56,1,3.9,0.3,91,  3.8, 1.4, 9.9,  5 / 20.8亿, 16 / 316.4亿,130 / 房地产 
0000502,深天马A,0.43,3,8.2,6.3,80, 24.4, 1.1, 1.1,  8 / 2.9亿, 15 / 282.2亿,214 / 电子元件 
0000592,华锦股份,-0.38,2,2.9,7.3,94,  7.8, 0.8, 2.6,  7 / 3.4亿, 12 / 108.0亿, 40 / 石油行业 
0000602,中金岭南,-0.56,1,3.4,3.7,91, 16.5, 1.7, 2.5,  9 / 2.6亿, 20 / 172.1亿, 79 / 有色金属 
0000612,农产品,-1.44,0,1.1,5.3,88, 46.7, 1.9, 1.0, 21 / 0.5亿, 21 / 95.2亿, 71 / 农牧饲渔 
